team,home_attack,home_defence,away_attack,away_defence
AFC Bournemouth,1.53,1.05,1.53,1.79
Arsenal FC,2.16,0.58,1.58,0.84
Aston Villa FC,1.68,1.16,1.26,1.42
Brentford FC,1.74,1.11,1.16,1.63
Brighton & Hove Albion FC,1.58,1.05,1.16,1.37
Burnley FC,0.95,1.53,1.05,2.42
Chelsea FC,1.37,1.32,1.68,1.42
Crystal Palace FC,1.0,1.21,1.16,1.47
Everton FC,1.37,1.42,1.11,1.21
Fulham FC,1.58,1.05,0.89,1.63
Leeds United FC,1.53,1.11,1.05,1.84
Liverpool FC,1.79,1.05,1.53,1.74
Manchester City FC,2.37,0.74,1.68,1.11
Manchester United FC,2.05,1.26,1.58,1.37
Newcastle United FC,1.89,1.58,0.89,1.32
Nottingham Forest FC,1.05,1.21,1.47,1.47
Sunderland AFC,1.32,1.05,0.89,1.47
Tottenham Hotspur FC,1.16,1.63,1.37,1.37
West Ham United FC,1.42,1.58,1.0,1.84
Wolverhampton Wanderers FC,1.0,1.79,0.42,1.79
