team,home_attack,home_defence,away_attack,away_defence,home_attack_strength,home_defence_strength,away_attack_strength,away_defence_strength
AFC Bournemouth,1.316,1.158,1.632,1.816,0.794,0.799,1.125,1.096
Arsenal FC,2.184,0.868,2.026,0.789,1.319,0.599,1.397,0.477
Aston Villa FC,2.158,1.263,1.368,1.684,1.303,0.871,0.944,1.017
Brentford FC,1.816,1.816,1.395,1.395,1.096,1.252,0.962,0.842
Brighton & Hove Albion FC,1.579,1.395,1.605,1.789,0.953,0.962,1.107,1.08
Burnley FC,1.0,2.263,1.158,1.842,0.604,1.561,0.799,1.112
Chelsea FC,2.079,1.158,1.632,1.632,1.255,0.799,1.125,0.985
Crystal Palace FC,1.605,1.368,1.237,1.5,0.969,0.944,0.853,0.905
Everton FC,1.263,1.079,0.895,1.421,0.763,0.744,0.617,0.858
Fulham FC,1.526,1.421,1.342,1.605,0.921,0.98,0.926,0.969
Ipswich Town FC,0.737,2.316,1.158,2.0,0.445,1.597,0.799,1.207
Leicester City FC,0.789,1.789,0.947,2.421,0.477,1.234,0.653,1.461
Liverpool FC,2.395,0.868,2.132,1.289,1.446,0.599,1.47,0.778
Luton Town FC,1.474,1.947,1.263,2.526,0.89,1.343,0.871,1.525
Manchester City FC,2.474,1.026,1.947,1.026,1.493,0.708,1.343,0.62
Manchester United FC,1.421,1.474,1.237,1.474,0.858,1.016,0.853,0.89
Newcastle United FC,2.342,1.105,1.684,1.763,1.414,0.762,1.162,1.064
Nottingham Forest FC,1.395,1.211,1.421,1.763,0.842,0.835,0.98,1.064
Sheffield United FC,1.0,3.0,0.842,2.474,0.604,2.069,0.581,1.493
Southampton FC,0.684,2.474,0.684,2.053,0.413,1.706,0.472,1.239
Tottenham Hotspur FC,1.921,1.632,1.711,1.684,1.16,1.125,1.18,1.017
West Ham United FC,1.421,1.632,1.368,1.947,0.858,1.125,0.944,1.176
Wolverhampton Wanderers FC,1.395,1.632,1.342,1.895,0.842,1.125,0.926,1.144
